酒釀衝雞蛋,酒釀，紅糖（或白糖），雞蛋
泡芙,色拉油78克，水130克，高筋麵粉104克，鹽2克，糖10克，雞蛋4個
大碗血旺財魚花,財魚（即黑魚）淨肉250克，凝固的鴨血200克，嫩豆芽20克。調料辣妹子辣椒醬10克，味精8克，胡椒粉8克，三五牌火鍋底料一包，薑末5克，高湯750克，豬油50克，老抽15克，色拉油700克，生粉5克。
宮保麵包魚丁,主料麵包魚肉配料油炸花生米、筍丁、香菇丁、尖椒丁調料鹽、醬油、料酒、味精、花生油、辣椒油、澱粉、蔥、姜、蒜、辣椒
烤牛肉火鍋,胡蘿蔔1根，新鮮金針菇150g，洋蔥1個，香菇3朵，蒿子桿150g，粉絲1小捆，豆腐1/2盒，大蔥1根，白菜1/3棵，肥牛片500g，鮮雞蛋4只，火鍋醬油3湯匙（45ml），木魚湯（木魚晶汁）1碗（125ml），日式麵條適量，橄欖油2湯匙（30ml）
肉末雪菜,雪菜、豬肥瘦肉、乾辣椒、鹽、醬油、料酒、味精、花生油、白糖、香油、蒜末各適量。
咖啡冰沙,熱咖啡75，煉奶25㏄，牛奶60㏄，碎冰塊1杯
水梨優格涼麵,蒟蒻絲150公克，小蕃茄4顆，苜宿芽1小撮，玉米粒2大匙，水梨1/2顆，原味優格4大匙，美奶滋1大匙，鹽1/2茶匙
蔥香肉末面,主料：麵條、肉沫調味：蔥白、蔥花、蒜末、油、生抽、鹽各少許
牛奶小土司,黃油，鹽，糖，水，高筋粉，奶粉，酵母
蒜子燒河鰻,主料：白鱔五花肉，小蔥，姜，蒜鹽，雞精，醬油，白糖，料酒，醋
香芋排骨粥,大米150克排骨300克芋頭200克食用油500克（實耗40克精鹽0.25小匙味精0.25小匙
酸豇豆肉末,主料：酸豇豆300克、鮮豇豆150克、五花肉末50克、乾辣椒少許、野山椒、蔥花、蒜末、薑末各適量調料：鹽1小匙、味精、辣椒油各適量、料酒1大匙
懶人之三文魚骨湯,三文魚骨，蘿蔔
花旗參石斛蟲草花鴨骨湯,幹鮑片3塊（這是墨西哥灣的生曬鮑片，國內沒有，有也大多為假貨，如果沒有可以不加或者用海螺片代替），花旗參1根，寧夏杞子十來顆，石斛3到5克，蟲草花1小把，生薑1小塊
養顏雞湯,冬瓜一斤半、雞一隻、豬瘦肉四兩、香菇（冬菇）十個、紅棗十五枚、生薑二片、鹽適量。
蠔油甜豆炒牛肉,用料：牛里脊200克 甜豆250克 生抽2茶匙（10ml）干淀粉1茶匙（5克）料酒1茶匙（5ml）蠔油2湯匙（30ml）蔥5片鹽1/ 2茶匙（3克）油3湯匙（45ml）
白蘿蔔暖身湯,白蘿蔔500g，水三碗，香菇50g，家樂豬骨濃湯口味濃湯寶1塊
香辣牛肉,牛肉150克蒜苗20克紅辣椒4個生薑1小塊大蒜6瓣澱粉適量食用油30克香油1小匙料酒2小匙胡椒粉少許豆瓣醬適量精鹽1小匙味精0.5小匙
白切肉,五花肉1斤，鹽1小匙，五味醬適量
鮮椰煲童子雞,新鮮椰子半個（喜歡味道更濃些，1個也行），童子雞1只，蓮子100克，玉竹50克，鹽，味精
雞肉湯,主料：鮮雞肉半只輔料：火腿1小塊調料：食鹽1/2茶匙，蔥1段，姜1塊，八角1顆，水適量
黑豆莎莎醬湯,黑豆2罐（400克裝），瀝乾清洗，蔬菜湯350毫升，西紅柿辣蘸醬225克，孜然粉1茶匙，酸奶油或原味酸奶4湯匙，蔥3根，切細絲
自製可樂雞翅,雞翅500克，可樂500克，姜、八角、油、白糖、醬油各適量，白酒、生粉各適量
豆角豬肉包子,中筋粉面400克、幹酵母5克、泡打粉5克、白糖5克、溫水約250ml、豬肉500克、豆角300克、大蔥適量、糖10克、鹽8克、蠔油1勺、油70ml
醬油風味奶油炒烏龍,烏龍面1小包，沙拉油1/2大匙，奶油1大匙，大葉2片，醬油1/2大匙，味林1/2大匙，米酒2大匙，鹽少許，胡椒少許
大千子雞,主料：童子雞900克，輔料：青椒45克，紅尖椒45克，雞蛋清40克，調料：白皮大蒜5克，色拉油75克，醬油20克，芡粉20克，味精5克，白砂糖5克，糖色5克，鹽3克，香油2​​克
鹹蛋黃焗南瓜,南瓜250克，鹹蛋黃50克，香蔥少許。油500克(約耗25克)，精鹽、胡椒粉、味精各1／4勺。
蘿勒鱸魚捲,鱸魚片1片，九層塔絲1匙，蒜末1大匙，義式香草香料1小匙，黃芥末少許
雞汁透味鮑魚,用料主料：水發鮑魚10個配料：土母雞2只(重約3000克)、豬肘3000克、火腿200克、瑤柱50克、菜膽20個調料：雞油50克、鹽l0克、味精5克、​​濕澱粉20克、蔥50克、姜50克、料酒50克
尖椒雞蛋,雞蛋，紅綠尖椒，鹽，油
黒椒鴨里脊,鴨里脊，蘆筍，蔥頭，姜，蒜，黃油，黑胡椒粉，鹽，紅酒
梅子沾醬,紫蘇梅肉3/2小匙，果糖1大匙，醋1大匙，蜂蜜1小匙，魚露1/2小匙，薑汁1小匙
火腿卷三文魚,1.6塊每塊約200克的去了皮的三文魚。 2.12片薄的prosciutto／意大利火腿3.少量的海鹽和黑胡椒粉4.3大匙牛油果油avacadooil（這個油多數家裡都不備的，我家也沒有，用橄欖油代替的）
金湯仙米雪蛤,雪蛤、葛仙米、老母雞、大閘蟹、雞粉、精鹽、澱粉各適量
傳統白土司-直接法,高筋麵粉1006公克，速溶酵母10公克，細砂糖40公克，鹽20公克，奶粉40公克，水634㏄，改良劑10公克，白油40公克
串烹野兔,串烹野兔是安徽菜餚在吸取西部地區風味菜的基礎上，創新的一個菜品。野兔肉質鮮美，加之用多種調料醃漬，成菜後，色澤棕紅，鮮嫩醇香，味美香辣。是熱點的菜餚。主料淨野兔肉調料精鹽 味精 料酒 十三香粉 辣椒粉 胡椒粉 蔥薑汁 蒜茸 色拉油
平菇炒雞蛋,平菇半斤，雞蛋3個，蔥薑蒜，小尖椒，植物油，鹽，雞精，十三香
雪菜肉絲飯,白米2杯，雪菜180公克，豬肉絲240公克，薑末10公克，水2杯，鹽1/2小匙，紅蔥油2大匙
豬油渣花卷,低筋麵粉500克，豬油渣少許，蔥少許，35度溫水270克，植物油10克，白糖20克，鹽3克，耐高糖酵母10克，鹽10克，白糖10克，油30克
紙包三鮮,主料：水發刺參100克，對蝦肉100克，嫩母雞脯肉100克，上湯200克，10厘米見方玻璃紙14張，料酒1茶匙，香油，薑茸，蔥各適量。
花開富貴酥,油皮：細砂糖25克，酥油50克，高筋麵粉125克，低筋麵粉25克，水60—65毫升。 ，油酥：低筋麵粉200克，酥油100克，內餡：無核蜜棗9粒，蜜豆45克，紅豆沙餡45克
摩丹燒,蛋1個，油面適量，面煳適量，高麗菜適量，花枝少許，蔥花少許，甜不辣末少許，小蝦米少許，鹽少許，特製醬汁少許，黃芥茉適量，柴魚末少許，海苔粉少許，味素少許，胡椒粉少許
奶油扇貝,材料A：4個，材料B：1茶匙，起士粉30公克，麵包粉60公克，奶油20公克，橄欖油20公克，白酒1茶匙，百里香1/4茶匙，鹽少許，黑胡椒粗粉少許，巴西里碎1茶匙
葡國汁焗小牛肉,配料：土豆，香腸，熟雞蛋，洋蔥，番茄，咖哩，椰奶，紅酒，酸奶油。規格：不放水，完全用配菜的水份。喜歡奶香多汁的可以加些牛奶。
開心果雞肉沙律,主料：開心果仁3/4杯，無核青葡萄（或紅葡萄）4兩（160克），酸乳酪1/2杯，雞胸肉1/2斤（320克） ，檸檬汁2茶匙，新鮮薄荷葉2塊，綠葉菜數塊，蔥2兩（80克），鹽，胡椒粉適量。
百花豆腐,枚頭豬肉450克，切塊，金菇250克左右，去蒂，滑豆腐1盒350克，切小顆，蒜蓉1湯匙，雜豆1杯，蟹柳4條左右，切碎，干貝2-3顆，泡軟，汁料：（份量只供參考），蠔油3湯匙，麻油1茶匙，糖1/4茶匙，水3湯匙，醃料：，鹽、糖、生抽、油和生粉適量
黑胡椒鴨胸,生抽，黑胡椒碎大量，一點綜合香料，老抽，鹽，酒，糖，蜜汁，鴨胸1塊
燜豬蹄,豬蹄700g，糖，八角，料酒，生抽，鹽，胡椒粉
肉丸茄子煲,茄子3條，絞肉3兩，太白粉水3大匙，香油酌量，高湯1/2杯，醬油1又1/2大匙，糖1/2小匙，醋1/2小匙，米酒少許，爆香料：1大匙，薑末1大匙，紅辣椒絲少許，鹽1/2小匙，糖1/2小匙，米酒1小匙，醬油1又1/2小匙，胡椒粉少許，蔥末2大匙
酸辣鴨掌,去骨鴨掌500克，姜50克，辣椒2根，小黃瓜100克，檸檬1個，白醋2大匙，細糖2大匙，鹽1/6茶匙，辣椒油1大匙，香油1大匙
青筍蟹味菇,萵筍100g，紅，黃彩椒各30g，里脊肉100g，蟹味菇60g，大蒜2瓣，鹽2g，雞精2g，水澱粉2茶匙（10ml），有機高油酸葵花籽油適量
干鍋滋小魚,小刁子魚，剁椒，蒜，調料
鮪魚風味燒,東京風面煳100g，高麗菜末60g，洋蔥1/4個，鮪魚罐頭1個，黑胡椒少許，紅薑絲少許，蛋1顆，美乃滋30g，柴魚片少許，美乃滋少許，煎餅醬汁適量
蟲草無花果煲排骨,排骨150g，蟲草花10g，無花果4顆，枸杞10顆，姜四片，鹽少許
牙買加雞肉沙拉,青蔥4根，切絲，大蒜3瓣，剁碎，干百里香11/4茶匙，黑胡椒粉1茶匙，牙買加甘椒粉（allspice）3/4茶匙，鹽3/4茶匙，紅酒醋4湯匙，第戎芥末2湯匙，深色紅糖2茶匙，去皮去骨雞脯肉454克，橄欖油1湯匙，菠蘿塊340克，奇異果4個，去皮，切成楔形，大紅甜椒1個，切成火柴條般大小，豆薯（沙葛）條1根
螞蟻上樹, 螞蟻上樹，又叫肉末粉絲，成菜肉香四溢、粉絲綿軟入味，由於吃時肉末會粘在粉絲上，猶如螞蟻上樹一般，此名便由之而來。如果家人或朋友嗜辣，可在炒肉末粉絲時，加入郫縣豆瓣醬翻炒，以此增添辣味和口感。材料豬瘦肉(2兩)、粉絲(2兩)、蔥(1根)、姜(3片)調料油(6湯匙)、生粉(1湯匙)、醬油(3湯匙)、料酒(1/ 2湯匙)、鹽(1/5湯匙)、雞粉(1/3湯匙)
卡羅爾米燴雞,無骨去皮雞胸肉4塊，鹽和現磨胡椒粉少許，調味用，紅辣椒粉1/2茶匙，分成兩半，蔬菜油3湯匙，綠椒1個，切碎，洋蔥1個，切碎，大蒜2頭，剁碎，長粒米200克，雞湯400克，白葡萄酒110克，藏紅花一小把，西紅柿1罐（400克），香芹1把，切細
火燎雞心,雞心150克。調料鹽5克，生粉15克，雞蛋1只，蠔油5克，紅方腐乳5克，料酒10克，孜然5克，川椒面5克，雞精5克，叉燒醬5克，海天老抽2克，味精5克，香油2​​克，秘製調料油400克。
韓式參雞湯,小雞1只（約500g），水參，蔥，姜，紅棗，江米，鹽，天冬，栗子
蘇式豆沙月餅,低筋麵粉140克，豬油150克，水80克，細砂糖30克，中筋麵粉180克
蝦油茭白蝦仁,茭白1根蝦仁10來只胡蘿蔔小半根鴨蛋1個生薑2片蝦油適量花生油適量
番茄魚丸豆腐湯,主料：鯉魚500克，輔料：番茄250克，北豆腐250克，木耳(幹)10克，調料：鹽2克，大蔥5克，姜10克，香油5克，豌豆澱粉10克，味精1克
法式牛奶甜米粥,牛油50公克，米50公克，糖20公克，牛奶900CC，荳蔻粉少許，檸檬皮絲1/2個量
酥皮濃湯,酥皮材料：136公克，高筋麵粉128公克，低筋麵粉32公克，水96公克，鹽2公克，白油20公克，細砂糖10公克，其他材料：適量，濃湯材料：適量，粗黑胡椒2大匙，碎火腿粒80公克，奶油60公克，低筋麵粉60公克，水1500㏄，玉米醬2罐
培根白菜湯,培根300克，白菜葉200克，蠶豆500克，洋蔥少許。調料精鹽適量，檸檬汁1小匙，雞精1／2小匙。
蛋花牛肉粥,大米150克牛肉225克雞蛋2個澱粉適量食用油5克胡椒粉少許精鹽0.25小匙味精0.25小匙
各式水餃的包法---馬蹄餃,餡和皮
自製韓式鐵板烤肉,梅肉，辣椒粉，黑胡椒粉，蔥薑蒜粉，韭菜汁，紅酒，糖，雞粉，肉桂粉，澱粉，味極鮮生抽
奶奶的傳統，妹妹的傳承——賽螃蟹,鹹鴨蛋1枚，鮮雞蛋2枚，蝦皮若干
奶橙木瓜汁,木瓜（小）1個，橙2個，牛奶200ml
火腿蘿蔔鴨翅湯,鴨翅，火腿，白蘿蔔，蔥，姜，鹽，白胡椒粉，料酒
宮保雞丁便當,主料：雞胸肉丁1/3杯，蒜味花生1大匙，大蒜1顆，乾辣椒2條，小黃瓜1/2條，紅蘿蔔丁1大匙，醃蘿蔔片1片，醬油1小匙，香油1/2小匙，太白粉水1/2小匙，糖1/2小匙
海鮮雞蛋羹,幾隻大的蝦仁、一小塊香腸、一半麻椒、一小半杏鮑菇、2個雞蛋、80度左右的開水、適量的鹽和油
家庭西餐---意大利式牛奶胡蘿蔔,胡蘿蔔500-600克，鮮牛奶1小杯，黃油50克，白葡萄酒半杯，胡椒粉適量，香菜1把，鹽適量
川芎白芷燉魚頭,主料：鰱魚頭250克，輔料：棗（幹）80克，川芎12克，白芷12克，調料：姜3克，鹽3克
香油雞翅,雞翅中，姜，雞精，醬油，香油
嫩炒雞丁,雞胸脯肉250克，蔥3根，干淀粉30克，嫩肉粉5克，白胡椒粉5克，鹽5克，生抽10克，米醋5克，糖5克，花椒5克，油45克
煎豆腐肉末小餅,凍豆腐，五花豬肉碎，香菜，大蔥，麵粉，鹽，雞精，生抽，香油，五香粉
培根奶油義大利面,蝴蝶面200公克，綠花椰菜150公克，培根180公克，大蒜2瓣，洋蔥1/4個，高湯150公克，奶油白醬80公克，鮮奶油60公克，奶油50公克，帕梅善起司粉10公克，巴西利10公克，鹽少許，胡椒粉少許
客家豆干煮豬肉,豆干、豬肉、油
蒜泥白肉,五花肉片200克，花椒粒10粒，八角一個，桂皮一小塊，料酒少許澆汁調料：大蒜四瓣，香菜少許，海鮮醬油，陳醋少許，辣椒油適量。
櫻花壽司,壽司海苔1張、壽司醋、大米、黃瓜1根、胡蘿蔔1根、肉鬆、壽司竹簾1張、櫻花粉、保鮮膜
什錦果麥牛奶,什錦果麥2大匙，低脂鮮奶240cc
坦裎相對餅乾,奶油220公克，糖粉200公克，蛋100公克，低筋麵粉400公克，高筋麵粉100公克，純白巧克力300公克，苦甜巧克力200公克，食用色素適量
香草汁,A.奶油100公克，蛋黃1個，白酒1茶匙，黃芥末醬1茶匙，原味優格50公克，B.新鮮歐芹末1茶匙，甜羅勒末1茶匙，鹽1/4茶匙，糖1茶匙
香腸熱狗包,高筋粉140克，火腿腸5根，水80克，細砂糖20克，黃油15克，雞蛋液10克，鹽1/4小勺，幹酵母1小勺，奶粉1小勺，全蛋液適量，黑芝麻適量
芝士焗田園蔬,主料：西蘭花，土豆、西葫蘆，培根，胡蘿蔔，洋蔥，大蒜，茴香頭、鹽，黃油，芝士，淡奶​​，麵粉
奶汁牡蠣,主料：奶汁20g，牡蠣1個，圓蔥碎5g，西芹碎5g，牛奶適量調料：鹽1g，胡椒粉0.3g，橄欖油75g
青蒜烏魚桂林米粉,新鮮​​烏魚1條，薑片，麻油，青蒜苗，米酒少許，鹽少許，白胡椒粉少許，桂林粗米粉
蘿蔔片魚湯,蘿蔔300g﹐牛肉100g﹐明太魚塊10個﹐香菇3個﹐石耳3個﹐生薑1塊*牛肉佐料醬﹕醬油1大勺﹐切好的蔥1小勺﹐切好的蒜1小勺﹐芝麻1小勺﹐胡椒面1/4小勺﹐白糖1小勺﹐香油1小勺*佐料醬﹕醬油4大勺﹐搗好的蒜1大勺﹐搗好的蔥2大勺﹐芝麻2大勺﹐香油1大勺﹐紅辣椒絲20g
蟹肉蹄筋,材料：蟹肉罐頭1罐，蹄筋400克，綠花椰菜1棵，蛋白2顆，罐頭雞湯半罐，，，，，太白粉1大匙調味料：香油半大匙，胡椒粉少許
葡萄牛奶麵包,高筋麵粉200克，細砂糖40克，鹽4克，幹酵母1小勺，雞蛋20克，牛奶100克，黃油30克，葡萄乾30克
香芋牛肉捲~牛肉可以捲起來吃哦。 。 ,主料：牛肉400克。芋頭1塊。輔料：東谷醬油適量。香油適量。雞精適量。料酒適量。黑椒碎適量。孜然粉適量。生粉適量。雞蛋一個。白糖適量。
牛肉青菜粥,牛肉，青菜心1顆，大米，糯米少許，鹽，雞精，胡椒粉，麻油
孕期補鈣又瘦身-意大利奶酪沙拉,奶酪、西紅柿、青檸檬、蘋果醋、九層塔（羅勒）、橄欖油、黑胡椒碎、鹽。
雞蛋辣椒醬,辣椒，雞蛋，豆瓣醬，花椒面
客家麻糬,圓糯米600g，沙拉油少許，花生粉適量，砂糖適量，手扒雞手套1雙
香腸薯塊沙拉,材料：德式香腸4條，馬鈴薯2顆，香菜20克調味料：芥末籽沙拉醬3大匙
菠蘿雞肉串,雞腿肉200g，菠蘿200g，辣椒仔醬汁1/2瓶，辣椒粉1茶匙（5g），番茄沙司，HP醬各2湯匙（30ml），鹽，黑胡椒粉各1茶匙（ 5g）
香芋炸春捲,瘦牛肉末250、芋頭1|2斤、生抽75毫升，蠔油10克，香菇5朵，胡蘿蔔、蔥2根，1棵，切細，蒜2瓣、雞粉4克，玉米油20克
奶油炸糕,主料：水1/2杯(約125ml)，麵粉1/2杯(約70克)，雞蛋2-3個，白糖1大勺，黃油1/2條(約50克) ，香草香精1小勺。
蒸焗五花腩,五花肉，蒜，頭曲（推薦玫瑰露酒），鹽，叉燒醬，油，五香粉，蜜糖，蔥
菠蘿培根焗飯,新鮮菠蘿1個，白米飯2碗，洋蔥1個，培根100g，青豆10g，胡蘿蔔2根，彩椒半個，堅果碎10g，馬蘇里拉奶酪絲20g，油40ml，鹽5g ，胡椒粉少許，帕瑪善起司粉10g
魚頭濃湯,鮮魚頭，蔥，姜，料酒，鹽，枸杞
黑胡椒培根披薩,披薩底一個（八寸方盤），自製披薩醬6大勺，馬蘇里拉芝士250克刨絲，培根5片切小片，火腿腸三條切小片，青椒一個切小塊，洋蔥1/4個，切小塊，味可美研磨黑胡椒碎少許。
能量小飯糰,雜糧米飯1碗，熟蝦仁6個，甜玉米粒適量，海苔肉鬆少許，海苔2張
鴨腿燉豆芽,鴨腿3個（剁塊），黃豆芽1斤（洗乾淨開水里焯一下），花椒10來顆，桂皮2小塊（指甲蓋大），辣椒乾，生薑，蔥，料酒，醬油，醋，鹽少許
立夏飯,糯米，鹹肉丁，新鮮豌豆粒，筍丁
蝦子鍋塌豆腐,豆腐，鹽，黑胡椒，雞蛋，cornstarch，蒜蔥，豆腐，耗油（李錦記老裝），醬油，蝦子（姜，酒，醬油浸泡過的），柴魚片
烤肉餡意大利蘑菇,意大利蘑菇（babybellamushrooms）數個，瘦肉末（喜歡吃肥肉的可以用肥瘦肉末），姜，蔥，奶酪，鹽，雞精，香油
紫菜鱈魚酥,主料：鱈魚500克，紫菜2張，豬油200克，麵粉500克。調料：蔥、薑汁各5克，蛋液30克，黑芝麻5克，紹酒8克，精鹽、太太樂雞精各5克，胡椒粉3克。
媽媽的番茄馬蘇里拉奶酪雞,橄欖油1/2湯匙，去皮去骨雞胸肉4塊，新鮮黑胡椒粉1/2茶匙，大蒜1瓣，切成末，洋蔥1/2個，切細碎，雞湯100毫升，意大利粉醬500克，馬蘇里拉奶酪100克，磨碎
